timestamp	accel_x	accel_y	accel_z	accel_mag
1235772751834	-1.3075534	-7.9270425	0.55843425	-1.7531071
1235772751874	0.0	-9.370799	0.3949901	-0.4275303
1235772751915	-0.4903325	-9.820271	1.0079057	0.07737827
1235772751954	-0.54481393	-9.425281	0.61291564	-0.34576225
1235772751994	-0.54481393	-11.604536	-0.3405087	1.8156576
1235772752035	-0.32688835	-13.770171	-0.16344418	3.9683704
1235772752075	0.4903325	-14.723596	-1.0079057	4.959547
1235772752115	-2.1247742	-13.988097	1.56634	4.42834
1235772752155	-2.3971813	-13.538626	3.759216	4.4472113
1235772752195	-2.3426998	-14.151542	3.2007818	4.8902674
1235772752234	-2.3426998	-13.143636	5.4890003	4.6284637
1235772752275	-1.0896279	-11.75436	3.8681788	2.6157122
1235772752315	-1.5799603	-9.084772	2.9147544	-0.1358099
1235772752355	-1.3620348	-4.508335	3.9771416	-3.6424084
1235772752394	-1.7434045	-2.8466527	2.2473574	-5.7825346
1235772752435	-1.525479	-3.0100968	1.6208214	-6.0630116
1235772752474	-2.506144	-4.1814466	-0.3405087	-4.919811
1235772752514	-2.3971813	-9.970095	-5.4890003	1.8242731
1235772752555	-1.3075534	-11.863323	-7.2324047	4.148844
1235772752595	-2.1247742	-12.14935	-9.41166	5.707882
1235772752635	-0.7627395	-16.766647	-4.4810944	7.565235
1235772752675	-3.3233647	-10.58301	1.4573772	1.3812361
1235772752715	-3.8681788	-4.6853995	4.263169	-2.3843603
1235772752755	0.16344418	-10.147159	7.286886	2.6869574
1235772752795	0.6537767	-5.965712	2.6832085	-3.232705
1235772752835	1.7978859	-6.347082	1.4573772	-3.0507793
1235772752875	1.1441092	-11.372991	0.10896278	1.6242628
1235772752914	-1.0351465	-7.518432	-0.667397	-2.188004
1235772752954	-0.980665	-7.1915436	1.0623871	-2.471211
1235772752995	-0.16344418	-9.030291	0.44947147	-0.76370335
1235772753035	0.38136974	-9.697687	1.0623871	-0.043492317
1235772753075	0.5992953	-10.079058	0.61291564	0.30879402
1235772753114	-0.38136974	-11.481953	-0.3949901	1.6884232
1235772753154	0.05448139	-13.089154	0.2860273	3.2857428
1235772753194	0.0	-13.988097	-1.0079057	4.2177124
1235772753235	-2.5742457	-12.598822	1.6208214	3.1542177
1235772753274	-2.4108016	-12.598822	2.6832085	3.2983828
1235772753315	-2.1383946	-12.53072	3.0781987	3.2726078
1235772753354	-2.6287272	-12.312795	4.5900574	3.5942354
1235772753395	-2.0294318	-11.985906	3.0237172	2.7202568
1235772753435	-2.3018389	-9.534244	2.8602731	0.41007233
1235772753475	-2.083913	-6.469665	2.8057916	-2.453302
1235772753515	-1.3211738	-4.0180025	2.5742457	-4.8552275
1235772753555	-1.0487667	-3.0645783	1.9068487	-6.047977
1235772753595	-1.8115063	-3.2280223	0.7218784	-6.0353384
1235772753639	-3.2825038	-6.347082	-4.2086873	-1.5136814
1235772753675	-2.6287272	-10.079058	-6.782933	2.6233864
1235772753714	-3.2825038	-9.248216	-8.512717	3.1845274
1235772753755	-1.1577295	-11.086963	-9.248216	4.677499
1235772753795	-2.083913	-11.808842	-5.09401	3.221795
1235772753835	-7.273266	-6.074675	-3.0781987	0.15715313
1235772753875	-1.6480621	-9.302697	2.969236	0.09651375
1235772753915	-1.1032481	-11.304889	2.1792557	1.7591114
1235772753954	0.3677494	-7.749978	3.4731886	-1.306036
1235772753994	3.636633	-10.256122	3.5821514	1.6495676
1235772754034	-0.23154591	-10.024576	-0.61291564	0.23931408
1235772754075	-0.8308412	-7.3005066	1.96133	-2.2017498
1235772754115	-0.50395286	-8.417375	1.0079057	-1.3141804
1235772754155	0.095342435	-9.466142	1.1168685	-0.2743721
1235772754195	-0.013620348	-9.861132	0.7218784	0.08087826
1235772754234	-0.23154591	-11.086963	-0.05448139	1.2828636
1235772754274	-0.9942854	-12.14935	-0.44947147	2.3916006
1235772754314	0.9670447	-14.546532	-0.44947147	4.7789173
1235772754355	-0.4903325	-14.314985	0.89894295	4.5449123
1235772754394	-2.1247742	-14.314985	2.5742457	4.892337
1235772754435	-0.50395286	-14.927901	3.636633	5.5660954
1235772754475	-2.5197644	-13.933616	4.372132	5.0126076
1235772754515	-2.5606253	-12.53072	4.263169	3.6748314
1235772754555	-2.1247742	-9.915613	3.5821514	0.94815636
1235772754595	-2.4516625	-6.6875906	3.3097446	-1.9524202
1235772754635	-1.5799603	-3.4595683	2.8602731	-5.0478635
1235772754674	-1.0896279	-2.2882185	1.96133	-6.6019583
1235772754715	-1.7434045	-2.5606253	0.667397	-6.6377892
1235772754754	-3.3233647	-6.469665	-3.8681788	-1.5686817
1235772754795	-2.7240696	-10.814556	-7.3413672	3.5451603
1235772754835	-3.759216	-10.20164	-9.084772	4.3615627
1235772754875	-2.8330324	-12.816748	-9.302697	6.281708
1235772754915	-3.3233647	-13.211738	-5.938472	5.054716
1235772754955	-8.62168	-7.8589406	-2.8057916	2.192049
1235772754995	-3.2688835	-10.978001	2.969236	2.026289
1235772755035	-1.7434045	-11.863323	1.9068487	2.3347654
1235772755074	-0.38136974	-8.185829	3.4187074	-0.92741585
1235772755114	3.1054392	-10.079058	3.255263	1.230917
1235772755155	-0.10896278	-9.861132	-0.84446156	0.09117317
1235772755195	-0.38136974	-7.518432	1.5118586	-2.12824
1235772755235	-0.27240697	-8.417375	0.667397	-1.3584661
1235772755274	0.10896278	-9.466142	0.7218784	-0.31239796
1235772755315	-0.21792556	-9.139254	0.89894295	-0.6207075
1235772755355	0.27240697	-10.419566	0.3405087	0.62203693
1235772755395	-0.5992953	-11.808842	-0.10896278	2.017891
1235772755434	1.525479	-13.824653	0.0	4.1019125
1235772755475	0.21792556	-14.818938	-0.3405087	5.0178013
1235772755515	-2.5606253	-14.151542	1.6208214	4.665737
1235772755555	-0.81722087	-14.601013	2.6832085	5.0613365
1235772755594	-2.506144	-14.206022	3.2007818	4.969575
1235772755635	-1.9068487	-12.653303	4.4810944	3.75146
1235772755675	-1.525479	-10.474048	3.0237172	1.2013302
1235772755715	-1.9068487	-7.082581	2.9147544	-1.9139438
1235772755755	-1.525479	-3.4595683	2.7513103	-5.1306043
1235772755795	-1.6344417	-2.1111538	1.7434045	-6.6179466
1235772755835	-1.7434045	-2.3971813	1.0079057	-6.6758657
1235772755875	-2.9964764	-5.6252036	-3.4187074	-2.57413
1235772755914	-2.4516625	-10.691973	-6.8374147	3.1192608
1235772755955	-3.486809	-10.978001	-7.8998017	4.1604977
1235772755994	-2.2882185	-13.143636	-9.697687	6.6868706
1235772756035	-3.1599207	-16.153732	-6.3879433	7.8493404
1235772756075	-8.839605	-10.365085	-3.2007818	4.1868706
1235772756115	-2.3971813	-12.203832	2.070293	2.801525
1235772756155	-1.0351465	-14.546532	2.2473574	4.9488144
1235772756195	0.54481393	-9.084772	3.759216	0.040258408
1235772756234	4.031623	-10.637491	3.5821514	2.119875
1235772756274	-0.43585113	-10.528529	-0.50395286	0.74293995
1235772756315	-0.92618364	-7.518432	1.96133	-1.9815974
1235772756355	-0.5992953	-8.417375	0.95342433	-1.3142786
1235772756394	0.43585113	-9.466142	0.84446156	-0.29292774
1235772756434	0.43585113	-9.861132	0.95342433	0.110048294
1235772756475	0.32688835	-10.474048	0.61291564	0.69040585
1235772756515	-0.6537767	-11.590916	0.3405087	1.8076811
1235772756554	1.4165162	-13.988097	0.55843425	4.2640724
1235772756595	0.32688835	-14.369467	-0.3949901	4.5719614
1235772756635	-1.6889231	-13.988097	1.6208214	4.3759584
1235772756675	-0.17706452	-14.87342	2.6832085	5.3078985
1235772756715	-2.1383946	-14.818938	2.9147544	5.4468565
1235772756754	-2.1383946	-13.484144	4.8760843	4.690628
1235772756795	-1.7570249	-11.372991	3.255263	2.1528149
1235772756834	-1.9749504	-7.6273947	3.13268	-1.3277788
1235772756875	-1.1577295	-3.173541	3.2007818	-5.1529737
1235772756914	-0.7763598	-1.7297841	2.0158114	-7.039272
1235772756955	-1.0487667	-2.1111538	1.1168685	-7.198149
1235772756995	-2.73769	-5.7341666	-2.7513103	-2.8823938
1235772757035	-2.5197644	-11.863323	-6.496906	3.95189
1235772757075	-2.6287272	-11.195926	-7.504812	3.9258356
1235772757115	-2.192876	-12.421757	-9.520623	5.9968624
1235772757154	-2.192876	-15.159447	-4.0861044	6.0462284
1235772757195	-6.67397	-9.030291	-0.2860273	1.4258842
1235772757234	-3.990762	-7.9679036	2.6832085	-0.5000248
1235772757275	-1.0487667	-12.421757	4.8760843	3.5790195
1235772757314	0.58567494	-7.6954966	3.13268	-1.4773426
1235772757368	3.0373375	-8.240311	2.6287272	-0.63940716
1235772757404	1.5118586	-12.421757	0.61291564	2.721774
1235772757445	-0.23154591	-8.076866	1.293933	-1.623519
1235772757485	-0.55843425	-8.635301	0.7899802	-1.1173267
1235772757525	0.20430522	-9.970095	0.84446156	0.2012291
1235772757565	0.25878662	-9.915613	0.7899802	0.14374828
1235772757605	0.53119355	-10.978001	0.10896278	1.1847343
1235772757645	-0.3405087	-11.699879	-0.7218784	1.9204216
1235772757685	1.2394516	-14.206022	-0.667397	4.4689484
1235772757725	-0.8308412	-14.260504	0.44947147	4.4851055
1235772757765	-2.6832085	-13.988097	1.6753027	4.5346584
1235772757805	-1.3756552	-14.314985	3.4731886	4.98775
1235772757845	-3.0645783	-13.879134	3.7047346	4.8816805
1235772757885	-2.5197644	-12.762266	3.4187074	3.643711
1235772757925	-2.192876	-10.528529	2.6832085	1.2774935
1235772757965	-2.2473574	-7.6273947	2.465283	-1.4816647
1235772758004	-1.1032481	-3.8954194	2.5742457	-5.0089226
1235772758045	-0.8308412	-2.5606253	1.7978859	-6.5694456
1235772758085	-1.3211738	-2.6151068	1.1713499	-6.6512823
1235772758125	-2.7921712	-5.243834	-2.969236	-3.1650858
1235772758169	-2.6287272	-11.427472	-6.891896	3.7946568
1235772758205	-3.5549107	-10.58301	-7.954283	3.901308
1235772758245	-1.8659877	-12.53072	-9.302697	5.9108887
1235772758285	-3.2280223	-15.935807	-6.3334618	7.642786
1235772758325	-8.744264	-8.744264	-2.8057916	2.8739166
1235772758364	-3.0645783	-11.427472	2.465283	2.2787285
1235772758405	-1.7570249	-14.151542	1.8523673	4.5733547
1235772758444	0.42223078	-8.635301	3.4187074	-0.50964737
1235772758484	4.072484	-10.528529	3.5276701	2.0204172
1235772758525	0.313268	-10.869038	-0.55843425	1.0812311
1235772758564	-0.88532263	-7.4639506	2.3563201	-1.9296837
1235772758605	-0.7218784	-8.526338	1.3484144	-1.1442156
1235772758645	-0.06810174	-9.588725	1.1168685	-0.15285873
1235772758684	0.20430522	-9.970095	0.7899802	0.19677925
1235772758725	0.25878662	-11.032481	0.3405087	1.2341175
1235772758765	-0.9942854	-11.985906	0.10896278	2.2209187
1235772758804	0.8036005	-13.879134	0.2860273	4.098671
1235772758845	-1.0351465	-14.110681	-0.3405087	4.3460455
1235772758884	-2.3971813	-14.001718	1.2394516	4.4527607
1235772758925	-0.43585113	-14.601013	2.1792557	4.962531
1235772758965	-2.3971813	-14.206022	2.6287272	4.838067
1235772759005	-1.9749504	-12.653303	4.3176503	3.708105
1235772759045	-1.920469	-10.419566	3.0781987	1.2265205
1235772759085	-2.233737	-7.3005066	2.969236	-1.6149874
1235772759125	-1.3620348	-3.7319753	2.9147544	-4.879321
